priority_score,type,url,inbound_internal_links,title,h1
31,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7532618213004168462.html,11,@tjrobertson52 source record about AI retrieval behavior | Base2026,@tjrobertson52
30,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7510331921071836462.html,10,@tjrobertson52 source record about AI search / retrieval behavior...,@tjrobertson52
30,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7511430805571341614.html,10,@tjrobertson52 source record about AI engagement automation...,@tjrobertson52
30,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7514453063826951467.html,10,@tjrobertson52 source record about AI search / AI Mode trajectory...,@tjrobertson52
30,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7515223765240810798.html,10,@tjrobertson52 source record about Agent-readable business /...,@tjrobertson52
30,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7535690550763179286.html,10,@build_in_public source record about Content freshness | Base2026,@build_in_public
30,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7637268866544028950.html,10,@build_in_public source record about Answer-first content | Base2026,@build_in_public
30,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7640117982898752790.html,10,@webhivedigital source record about Ecommerce SEO | Base2026,@webhivedigital
30,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7641752539150437646.html,10,@tjrobertson52 source record about AI recommendation evidence |...,@tjrobertson52
29,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7392807632135802155.html,9,@tjrobertson52 source record about lead follow-up | Base2026,@tjrobertson52
29,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7515115407359970582.html,9,@webhivedigital source record about Digital PR links | Base2026,@webhivedigital
28,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7513351156911918382.html,8,@tjrobertson52 source record about Authentic voice | Base2026,@tjrobertson52
28,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7644305161850031392.html,8,@build_in_public source record about Local SEO | Base2026,@build_in_public
28,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7647713851504463117.html,8,@tjrobertson52 source record about AI Content Workflow | Base2026,@tjrobertson52
28,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7650601606215372046.html,8,@tjrobertson52 source record about AI Knowledge Base | Base2026,@tjrobertson52
28,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7651218412475059464.html,8,@joshuamaraney source record about AI Model Governance | Base2026,@joshuamaraney
27,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7577857865130495246.html,7,@tjrobertson52 source record about AI citation tracking | Base2026,@tjrobertson52
27,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7583118754536508685.html,7,@tjrobertson52 source record about Local SEO / GBP | Base2026,@tjrobertson52
27,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7585694848066276621.html,7,@tjrobertson52 source record about AI citation research / cited...,@tjrobertson52
27,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7627345524999359757.html,7,@tjrobertson52 source record about AI-cited sources / outreach |...,@tjrobertson52
27,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7645031279561280801.html,7,@build_in_public source record about High-Intent SEO | Base2026,@build_in_public
27,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7648867263541464334.html,7,@tjrobertson52 source record about AI Knowledge Base | Base2026,@tjrobertson52
27,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7651765211682196749.html,7,@tjrobertson52 source record about Google Business Profile | Base2026,@tjrobertson52
27,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7652708771701067030.html,7,@iamdandavies source record about WordPress static homepage setup...,@iamdandavies
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7388244947352210734.html,6,@tjrobertson52 source record about local pack ranking factors |...,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7388369836922981678.html,6,@tjrobertson52 source record about Review acquisition | Base2026,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7391617637303717163.html,6,@tjrobertson52 source record about local SEO priorities | Base2026,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7395661551815904554.html,6,@tjrobertson52 source record about Portfolio-led local marketing...,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7504480319404346670.html,6,@tjrobertson52 source record about AI visibility content strategy...,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7505524242147151150.html,6,@tjrobertson52 source record about Lead capture / response speed...,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7511824850902633750.html,6,@build_in_public source record about Service Hub Architecture |...,@build_in_public
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7517388546865564951.html,6,@build_in_public source record about llms.txt risk | Base2026,@build_in_public
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7536440007330958614.html,6,@build_in_public source record about Keyword opportunity analysis...,@build_in_public
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7551481104964881686.html,6,@webhivedigital source record about AI-assisted content | Base2026,@webhivedigital
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7567459516833434893.html,6,@tjrobertson52 source record about Google posts / local SEO | Base2026,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7569058327246687502.html,6,@tjrobertson52 source record about AI-assisted content QA | Base2026,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7575334473387019533.html,6,@tjrobertson52 source record about AI content quality | Base2026,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7585359125744307469.html,6,@tjrobertson52 source record about GEO tactics / durability...,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7589810906788269367.html,6,@tjrobertson52 source record about AI visibility / recommendation...,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7634350880266931469.html,6,@tjrobertson52 source record about AI retrieval behavior | Base2026,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7642833683384192270.html,6,@tjrobertson52 source record about Content strategy / commodity...,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7647384874541731086.html,6,@tjrobertson52 source record about AI Search Reporting | Base2026,@tjrobertson52
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7647909694559767840.html,6,@build_in_public source record about Internal Linking | Base2026,@build_in_public
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7649507228147256598.html,6,@build_in_public source record about AI and SEO Integration | Base2026,@build_in_public
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7649635621287316743.html,6,@joshuamaraney source record about Google Ads Tracking | Base2026,@joshuamaraney
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7649831101036252438.html,6,@build_in_public source record about Scaled Content | Base2026,@build_in_public
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7651655907494972694.html,6,@build_in_public source record about Self-Promotional Listicles |...,@build_in_public
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7652033936465333518.html,6,@gobigsystems source record about Instagram Search Visibility |...,@gobigsystems
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7652033944455613710.html,6,@gobigsystems source record about Google Business Profile...,@gobigsystems
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7652053212958231831.html,6,@build_in_public source record about Self-Promotional Listicles |...,@build_in_public
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7652081880103275789.html,6,@gobigsystems source record about AI Recommendation Readiness |...,@gobigsystems
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7652365345709231382.html,6,@webhivedigital source record about WordPress SEO / plugin...,@webhivedigital
26,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7652520714678832398.html,6,@gobigsystems source record about Google Business Profile Search...,@gobigsystems
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7505149939526192430.html,5,@tjrobertson52 source record about SEO strategy evaluation | Base2026,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7509197173406403886.html,5,@tjrobertson52 source record about Trust / conversion | Base2026,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7516242733040815402.html,5,@tjrobertson52 source record about AI content trust / human...,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7534095319798189325.html,5,@tjrobertson52 source record about llms.txt contradiction / AI...,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7551893512619363597.html,5,@tjrobertson52 source record about AI content / quality risk |...,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7557492989233319181.html,5,@tjrobertson52 source record about AI content quality | Base2026,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7565264224507809038.html,5,@tjrobertson52 source record about Brand Proof Pages | Base2026,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7565641445026106646.html,5,@build_in_public source record about Internal linking | Base2026,@build_in_public
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7568223295963761975.html,5,@tjrobertson52 source record about directories / AI visibility |...,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7572774209382911246.html,5,@tjrobertson52 source record about content freshness | Base2026,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7580541959245237559.html,5,@tjrobertson52 source record about AI discovery / search behavior...,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7626098026745990422.html,5,@build_in_public source record about Local backlinks /...,@build_in_public
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7639575644417821985.html,5,@build_in_public source record about AI Overview strategy | Base2026,@build_in_public
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7639910759018827022.html,5,@tjrobertson52 source record about AI content workflow | Base2026,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7644370408707345677.html,5,@tjrobertson52 source record about AI Agent Readiness | Base2026,@tjrobertson52
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7646438628347956502.html,5,@webhivedigital source record about Core Update Analysis | Base2026,@webhivedigital
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7647174232719248662.html,5,@webhivedigital source record about Core Update Analysis | Base2026,@webhivedigital
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7647809342548266258.html,5,@joshuamaraney source record about AI Search Reporting | Base2026,@joshuamaraney
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7649090452150390049.html,5,@build_in_public source record about AI Citations | Base2026,@build_in_public
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7650000106489433352.html,5,@joshuamaraney source record about AI Workflow Automation | Base2026,@joshuamaraney
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7650378444122901768.html,5,@joshuamaraney source record about AI Skills | Base2026,@joshuamaraney
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7651494873526275346.html,5,@joshuamaraney source record about Brand Bidding Policy | Base2026,@joshuamaraney
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7651638486922972434.html,5,@darrenshawseo source record about Query Fan-Out | Base2026,@darrenshawseo
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7652007874536819976.html,5,@darrenshawseo source record about Lead Conversion | Base2026,@darrenshawseo
25,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7652384458804432136.html,5,@darrenshawseo source record about Local SEO service-area...,@darrenshawseo
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7502217583781956910.html,4,@tjrobertson52 source record about Brand / AI visibility | Base2026,@tjrobertson52
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7503685246773300526.html,4,@tjrobertson52 source record about CMS choice / SEO | Base2026,@tjrobertson52
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7504746052059221291.html,4,@tjrobertson52 source record about AI-assisted web design | Base2026,@tjrobertson52
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7505898339452341550.html,4,@tjrobertson52 source record about YouTube / organic acquisition...,@tjrobertson52
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7509556474872433963.html,4,@tjrobertson52 source record about Algorithmic lead generation |...,@tjrobertson52
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7511815293438610710.html,4,@build_in_public source record about AI content QA / value...,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7512904373689847086.html,4,@tjrobertson52 source record about AI customer service /...,@tjrobertson52
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7513667145377811758.html,4,@tjrobertson52 source record about Entity SEO / anchor/name...,@tjrobertson52
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7514151922786569518.html,4,@tjrobertson52 source record about Local/social content / trust |...,@tjrobertson52
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7517398520601660694.html,4,@build_in_public source record about YouTube metadata | Base2026,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7517704841112653078.html,4,@build_in_public source record about AI visibility / on-page...,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7519945419988684054.html,4,@webhivedigital source record about WordPress SEO / plugin...,@webhivedigital
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7532707888410725654.html,4,@build_in_public source record about Shared chat privacy | Base2026,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7533425173991673110.html,4,@build_in_public source record about Shared chat SEO | Base2026,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7537168276892192022.html,4,@build_in_public source record about Press release manipulation...,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7537544528497052950.html,4,@build_in_public source record about Press release manipulation...,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7538555750768053526.html,4,@build_in_public source record about llms.txt contradiction / AI...,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7540500381059599638.html,4,@build_in_public source record about Backlink quality | Base2026,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7557817944982474006.html,4,@build_in_public source record about Backlink quality | Base2026,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7558544343183871254.html,4,@build_in_public source record about AI content disclosure | Base2026,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7560761159729564950.html,4,@webhivedigital source record about AI-assisted SEO content...,@webhivedigital
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7573447188185894157.html,4,@tjrobertson52 source record about AI citation tracking | Base2026,@tjrobertson52
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7575978911209622797.html,4,@tjrobertson52 source record about ads in AI results | Base2026,@tjrobertson52
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7583834615236922646.html,4,@build_in_public source record about ChatGPT query research | Base2026,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7588880850767514882.html,4,@webhivedigital source record about AI content mapping | Base2026,@webhivedigital
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7600172711721241879.html,4,@build_in_public source record about AI retrieval research /...,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7601237660723711254.html,4,@build_in_public source record about AI-assisted SEO analysis |...,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7604225606712216854.html,4,@build_in_public source record about AI-targeted content /...,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7606127956087360782.html,4,@tjrobertson52 source record about Affiliate publishers / AI...,@tjrobertson52
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7610834485151681814.html,4,@webhivedigital source record about Ecommerce SEO / collection...,@webhivedigital
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7612386741697252630.html,4,@build_in_public source record about AI prompt content | Base2026,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7614653353057897750.html,4,@build_in_public source record about Search Console / low-hanging...,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7617156138475212054.html,4,@build_in_public source record about Local SEO / Google Business...,@build_in_public
24,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7625635907302952214.html,4,@build_in_public source record about Risk/avoid / scaled content...,@build_in_public
3,other,https://aggressorbulkit.online/knowledge/compare/internal-linking.html,3,Internal Linking creator viewpoint comparison | Base2026,Internal Linking
3,other,https://aggressorbulkit.online/knowledge/compare/on-page-seo.html,3,On-Page SEO creator viewpoint comparison | Base2026,On-Page SEO
